DescricaoExemplo;CodigoCorreto
Conserto Maquina CafÈ;533
TransferÍncia origem: Cheques para Deposito ;504
Recebimento Clientes;504
Cafeteira Lirika Plus                                                                                                       ;546
Recebido do Cliente: Thais Regina SÌmaro Batista;504
Recebido do Cliente: Klenia Xavier;504
Salario Joao Victor;187
Base Metalica Dr Henrique Elza 01;506
Base Metalica Dr Henrique Elza 02;506
Recebido do Cliente: Maria Fernanda Pereira Do Couto Rosa Vaismenos;504
Pedido Referente a Nota fiscal: 3111 - Fran Dental;506
Pedido Referente a Nota fiscal: - Dental Ita - 11/18;506
Pedido Referente a Nota fiscal: 202.233 - Dental Ita - 2/5;506
Luva, m·scara, gesso, ponta misturadora, revestimento, Ûxido.|0002 ODONTOSHOP COMERCIO LTD;506
Revestimento, bisturi, Ûxido|0002 ODONTOSHOP COMERCIO LTDA;506
0002 ODONTOSHOP COMERCIO LTD;506
ODONTOSHOP COMERCIO LTD;506
ODONTOSHOP COMERCIO LTDA;506
DENTAL CREMER;506
DENTAL LG;506
IVOCLAR DENT;506
Pagamento sal·rio referente ao mÍs de Julho;187
Pagamento sal·rio referente ao mÍs de Julho|0025 Lucicleide Farias;187
COB COMPE CAIXA;369
DB T CESTA CAIXA;369
Mini pilar, RN Synocta plastic|0016 NEODENT BRASIL (JJGC);506
NEODENT BRASIL (JJGC);506
NEODENT BRASIL;506
NEODENT;506
TED PRA ROSIANE BERTOLDO;548
INSS;191
INSS a recolher;191
Parafuso, an·logo, mini pilar|0016 NEODENT BRASIL (JJGC);506
Internet |0017 ALGAR TELECOM S/A;356
Labf·cil sistema|0035 URGTEC CONSULTORIA E TREINAMENTO LTDA;531
Cli.: 0471 Pgto. do Boleto F903D818C6F44D35B440614FDFD24993 $2.540,00 Taxa: 2,90;504
Cli.: 0005 Pgto. do Boleto F3CD24DF6D5141C0B2E883AE5BC21264 $2.754,00 Taxa: 2,90;504
EMPRESTIMO 2 |0123 EMPRESTIMO - CAIXA;152
Ponta diamantada, hidroxido de calcio, escova, luva |0077 J.P MORGAN-DENTAL CREMER PRODUTO;506
luva, touca, mascara, vibrador de gesso, resina |0077 J.P MORGAN-DENTAL CREMER PRODUTOS OD;506
ConsÛrcio - COTA 3792|0111 EMBRACON ADMINISTRADORA DE CONSORCIO LTDA;350
ConsÛrcio- 1010|0111 EMBRACON ADMINISTRADORA DE CONSORCIO LTDA;350
BLOCO DE ZIRC‘NIA |0119 JOMON INDUSTRIA DE ARTEFATOS CERAMICOS LTDA;506
DOMINGOS ESPIRITO SANTO TANAJURA NETO;548
Sistema|0084 LABF¡CIL;531
Sedex - Dinheiro - 28/02/2025;357
PrestaÁ„o de ServiÁos - Entregas e Retiradas;714
Compra 0711;506
Compra 0689;506
Conjunto Suporte de Caixinhas o/ Bancada preto;570
Compra 0685;506
Sal·rio mÍs 02/2025 (R);187
Compra 0371;506
Software Labfacil - Plano: Consultas (R);741
Reconhecimentos de Firma (Ygor, Cristina, Cristiano e Rodrigo);726
Sedex - Dinheiro - 26/02/2025;357
Compra 0708;506
Compra 0684;506
Compra 0570;506
Ref. Consumo MÍs 02.2025 - Sala 1702  (R);354
Ref. compra de pl·sticos p/ embalar trabalhos;715
Compra 0694;506
Limpeza Lab. dias 23 e 26 (R);362
TAR/CUSTAS COBRANCA;369
Compra 0705;506
Contabilidade - Dk (R);726
Sedex - Dinheiro - 24/02/2025;357
Ref. Frete Transportadora (NF 26093 - Amblion - Blocos de Zirc.);714
Compra 0687;506
Compra 0686;506
Ref. Entrada de Compra Fresadora (Davidson ciente);570
Compra 0461;506
P„es - ref. dias: 25, 26, 27, 28 e 05 de MarÁo. (R);594
Sedex - Dinheiro - 21/02/2025;357
Pedido 160.027/3 (Oxido Elfusa #320 5Kg) (Jan/2025);506
Sedex - Dinheiro - 20/02/2025;357
Compra 0699;506
Compra 0691;506
Compra 0677;506
Adiantamento mÍs 02/2025 (R);187
Pix;736
LOHENE - PREMIA«√O (R);782
Cart„o de crÈdito;534
HERICK - PREMIA«√O (R);782
PREMIA«√O;782
PINCEL  (4/4);533
Referente ao s·bado Vanice;581
Referente ao s·bado do Tiago;581
ADILIO - Clude Sa˙de/ TotalPass e C4life (R);699
ANA CRISTINA - Clude Sa˙de/ TotalPass e C4life (R);699
CAROLINA - Clude Sa˙de/ TotalPass e C4life (R);699
CRISTINA - Clude Sa˙de/ TotalPass e C4life (R);699
HERICK - Clude Sa˙de/ TotalPass e C4life (R);699
JACKELINE - Clude Sa˙de/ TotalPass e C4life (R);699
LOHENE - Clude Sa˙de/ TotalPass e C4life (R);699
Compra 0552 (8/12);736
Compra 0564 (7/9);736
ANA PAULA - Clude Sa˙de/ TotalPass e C4life (R);699
WANDERLEIA - Clude Sa˙de/ TotalPass e C4life (R);699
Fatura Caixa;374
FORNO DE CER¬MICA - 230ZR - ZUBLER (33/34);570
C. Ti Interface ;506
Plano de suporte Talmax Fit ;362
COLETA E TRANSF. DE RESIDUOS QUIMICO ;362
FECHAMENTO OUTUBRO 24;506
ACUMULATIVOS: 463, 468, 476 E 482;506
ACUMULATIVOS: 478,0479, 481 E 488;506
PR”-LABORE ;188
PARC SIMPLES - LOP ;479
FRESADORA CADCAM - B42 - 220V;739
DIVIDA ATIVA PARC LOP ;479
ALIMENTA«√O - YASMIN ;737
ALIMENTA«√O - WANDERLEIA ;521
ALIMENTA«√O - ANA PAULA ;521
Rescis„o ;187
Insumos ;506
ALIMENTA«√O - LOHENE  ;737
ALIMENTA«√O - LARISSA ;521
ALIMENTA«√O - JANAINA  ;521
ALIMENTA«AO - CRISTINA  ;737
ALIMENTA«√O - CAROLINE  ;521
ALIMENTA«√O - VANICE  ;521
ALIMENTA«√O - JOYCE  ;521
ALIMENTA«√O - VICTOR ;521
ALIMENTA«√O - HERICK ;737
SCANNER - MEDIT 600 (SIN) 1/30;570
NegociaÁ„o Boletos Fevereiro e MarÁo;506
NegociaÁ„o Boletos Fevereiro e MarÁo ;570
 CIL TIT MINI PILAR CONICO;506
Gest„o cont·bil ;362
transporte da Fresadora;492
DESISTENCIA/CONSULTA;531
 C. Ti Interface;506
VT - Yasmin Maciel ;738
SEDEX - ENVIO ;357
JOYCE - TRANSPORTE  ;492
VANICE - TRANSPORTE ;492
ADILIO DA SILVA - TRANSPORTE ;738
TIAGO PAIVA - TRANSPORTE ;738
HERICK MORAES - TRANSPORTE ;738
VICTOR HUGO - TRANSPORTE  ;738
CAROLINA DE MEDEIROS - TRANSPORTE ;738
CRISTINA ALMEIDA - TRANSPORTE  ;738
LUCIANA CASTILHO - TRANSPORTE  ;738
Marketing e colab com Administradores.com;713
LOHENE - TRANSPORTE  ;738
LARISSA - TRANSPORTE  ;492
JANAINA - TRANSPORTE ;492
CAROLINE - TRANSPORTE ;492
VIVO INTERNET - 804  ;356
Chip;356
FGTS JACKELINE ;192
Scanbody ;506
SERVI«OS DE DESENHO DE PR”TESE  REALIZADOS NO M S 05/2025;362
FORNO, FRESADORA CADCAM A51, SCANNER 3D;570
Cart„o ELO Caixa ;374
VICTOR HUGO ;187
CRISTINA ALMEIDA ;187
CAROLINE PORFÕRIO  ;187
CAROLINA DE MEDEIROS ;187
ADILIO PAULA ;187
SIMPLES LOP ;479
Imposto plano de sa˙de - HOSP 90,43 ODONT 3,84 ;350
LUISA FONTENELLE - HOSP 390,92 ODONT 26,90 ;528
PRISCILA FONTENELLE - HOSP 719,65 ODONT 26,90 ;528
MARCELO BALLIAN - HOSP  1.019,68 ODONT 26,90 ;703
LOHENE MARQUES - HOSP 605,90 ODONT 26,90 ;703
GABRIEL PORFIRIO - HOSP 390,92 ODONT 26,90 ;528
CAROLINE PORFIRIO - HOSP 672,57 ODONT 26,90 ;528
CELULARES CORPORATIVOS  ;356
FORNO DE CER¬MICA - 230ZR - ZUBLER;570
RenovaÁ„o suporte anual (CIMsystem - Millbox);531
Acordo indenizatÛrio ex funcion·ria Rosana Lima ;726
CONTROLE DE EXAMES ADMISSIONAIS E DEMISSIONAIS   ;362
DA  NET SERVICOS ;356
LIGHT - DEB EM CONTA ;354
Bloco cadcam, ponta pedra, estojo ;506
FGTS RescisÛrio Cintya Filardy;192
JIG DE ESCAN;506
DevoluÁ„o Pix Dra Marcia do dia 30/05;506
Parcelas do distrato;732
Fechamento dezembro ;506
Fresas - Master Milling ;506
VANICE - Clude Sa˙de/ TotalPass e C4life ;339
JOYCE - Clude Sa˙de/ TotalPass e C4life ;339
VICTOR - Clude Sa˙de/ TotalPass e C4life ;699
TIAGO - Clude Sa˙de/ TotalPass e C4life ;699
RODRIGO - Clude Sa˙de/ TotalPass e C4life ;339
PRISCILA - Clude Sa˙de/ TotalPass e C4life ;339
NOEMIA - Clude Sa˙de/ TotalPass e C4life ;699
MARLON - Clude Sa˙de/ TotalPass e C4life ;339
LUCIANA - Clude Sa˙de/ TotalPass e C4life ;699
LOHENE - Clude Sa˙de/ TotalPass e C4life ;699
LARISSA - Clude Sa˙de/ TotalPass e C4life ;339
JANAINA - Clude Sa˙de/ TotalPass e C4life ;339
JACKELINE - Clude Sa˙de/ TotalPass e C4life ;339
HERICK - Clude Sa˙de/ TotalPass e C4life ;699
CRISTINA - Clude Sa˙de/ TotalPass e C4life ;699
CINTYA - Clude Sa˙de/ TotalPass e C4life ;339
CAROLINE - Clude Sa˙de/ TotalPass e C4life ;339
CAROLINA - Clude Sa˙de/ TotalPass e C4life ;699
ANA CRISTINA - Clude Sa˙de/ TotalPass e C4life ;339
ADILIO - Clude Sa˙de/ TotalPass e C4life ;699
FRESADORA ROLAND 2 (DWX-42W) - ADITIVO N∫1 E 2 E FILTRO LIQUIDO;570
FRESADORA SECO 5 EIXOS DWX - 52DI 2/59;570
Liga metalica;506
ALUGUEL LOP - 60% ADM ;740
ALUGUEL LOP - 40% CUSTO  ;740
ALUGUEL SL 804 - 60% ADM ;740
ALUGUEL SL 804 - 40% CUSTO  ;740
ANALISTA;362
Venda 17511;506
ANALISTA  ;362
PENSAO RODRIGO  ;751
VIVO INTERNET ;356
LIGHT - BOLETO  ;354
ITAU SEG VIDA GLOB ;358
LOHENE - COMISSAO  ;581
VANICE  ;187
TIAGO - COMISS√O ;581
LUCIANA - COMISS√O ;581
CRISTINA - COMISS√O ;581
 COMISS√O - CAROLINA ;581
COMISSAO ;581
NOEMIA - COMISS√O ;581
ABASTECIMENTO ;492
ALIMENTA«√O ;521
ABASTECIMENTO - MARLON ;492
ALIMENTA«√O - MARLON ;521
Scanbody Pilar;706
ASSISTENTE FINANCEIRO  ;726
Seguro de vida Marlon e Rodrigo;358
INSUMOS;506
TransferÍncia autom·tica de Conta Digital  - Lop  para ITAU - Conta Corrente - Lop;1
Thiago - trabalhou no s·bado;187
CAROLINE - COMISSAO  ;581
ISS LOP ;173
REND PAGO APLIC AUT APR;432
Comiss„o;581
Comiss„o - Ana Paula;581
Joyce - Comiss„o;581
Wanderleia - Comiss„o;581
Herick - Comiss„o;581
Yasmin - Comiss„o;581
ANTECIPA«√O DE DL ;581
ALIMENTA«√O - MARLON ;737
ABASTECIMENTO - MARLON ;738
ALIMENTA«√O ;737
ABASTECIMENTO ;738
PENSAO RODRIGO  ;750
Tiago - Comiss„o;581
CILINDRO PROT UNIT PILAR;506
Trabalhamos Segunda feira, foi feriado aqui no Rio.;187
Interf titanio ;506
Trabalhar feriado;187
Trabalhou s·bado;187
FRESADORA SECO 5 EIXOS DWX - 52DI 2/59 (31/58);570
FRESADORA ROLAND 2 (DWX-42W) - ADITIVO N∫1 E 2 E FILTRO LIQUIDO (31/48);570
ANA CRISTINA - Clude Sa˙de/ TotalPass e C4life ;699
CAROLINE - Clude Sa˙de/ TotalPass e C4life ;699
JACKELINE - Clude Sa˙de/ TotalPass e C4life ;699
JANAINA - Clude Sa˙de/ TotalPass e C4life ;699
LARISSA - Clude Sa˙de/ TotalPass e C4life ;699
MARLON - Clude Sa˙de/ TotalPass e C4life ;699
PRISCILA - Clude Sa˙de/ TotalPass e C4life ;699
RODRIGO - Clude Sa˙de/ TotalPass e C4life ;699
JOYCE - Clude Sa˙de/ TotalPass e C4life ;699
VANICE - Clude Sa˙de/ TotalPass e C4life ;699
Fresas - Master Milling  (4/5);506
BÙnus trimestral;187
Trabalhou s·bado.;187
Pois ontem o rapaz do oxigÍnio chegou no hor·rio do almoÁo, aÌ ela pagou com dinheiro dela e depois paguei a ela.;506
ANA PAULA - Clude Sa˙de/ TotalPass e C4life ;699
WANDERLEIA - Clude Sa˙de/ TotalPass e C4life ;699
Fechamento dezembro  (7/7);506
Parcelas do distrato (2/3);732
 RN VARIOBASE;506
Taxa cart„o vt desligamento Guilherme ;350
Bloco cadcam, ponta pedra, estojo  (9/10);506
Insumos  (4/7);506
Gesso;506
Tiago pois trabalhou s·bado. ;187
 Victor pois trabalhou s·bado.;187
RenovaÁ„o suporte anual (CIMsystem - Millbox) (5/5);741
Fatura Caixa;1
BÙnus trimestral Victor ;782
FORNO DE CER¬MICA - 230ZR - ZUBLER (32/34);570
CAROLINE PORFIRIO - HOSP 672,57 ODONT 26,90 ;703
GABRIEL PORFIRIO - HOSP 390,92 ODONT 26,90 ;703
LOHENE MARQUES - HOSP 672,57 ODONT 26,90 ;703
PRISCILA FONTENELLE - HOSP 719,65 ODONT 26,90 ;703
LUISA FONTENELLE - HOSP 390,92 ODONT 26,90 ;703
Imposto plano de sa˙de - HOSP 92,02 ODONT 3,84 ;350
Pois ele saiu na quinta feira tarde do laboratÛrio e foi de uber.;187
SALARIO FAMILIA R$195,00 (VANICE, ANA CRISTINA, JACKELINE) SALARIO MATERNIDADE (ANA CRISTINA);736
ANA PAULA  ;192
WANDERLEIA  ;192
Cart„o ELO Caixa ;369
FORNO, FRESADORA CADCAM A51, SCANNER 3D (7/12);570
SERVI«OS DE DESENHO DE PR”TESE  REALIZADOS NO M S 06/2025;467
Marketing e colab com Administradores.com (11/12);713
Fatura Master;1
DESISTENCIA/CONSULTA (7/12);741
VT - Yasmin Maciel referente a 1 semana de passagens;738
Taxas judiciais - referente a processo judicial Dayube;350
CAROLINE - TRANSPORTE ;738
JANAINA - TRANSPORTE ;738
LARISSA - TRANSPORTE  ;738
VANICE - TRANSPORTE ;738
JOYCE - TRANSPORTE  ;738
ANA PAULA - TRANSPORTE  ;738
YASMIN MACIEL - TRANSPORTE  ;738
WANDERLEIA - TRANSPORTE  ;738
Trabalhou s·bado - Tiago ;187
SCANNER - MEDIT 600 (SIN) 1/30 (28/30);570
NegociaÁ„o Boletos Fevereiro e MarÁo  (5/6);570
Insumos  (6/10);506
NegociaÁ„o Boletos Fevereiro e MarÁo (5/6);506
Plano de suporte Talmax Fit  (2/4);362
FRESADORA CADCAM - B42 - 220V (10/48);739
DIVIDA ATIVA PARC LOP  (18/30);550
PARC SIMPLES - LOP  (14/60);550
ALIMENTA«√O - VICTOR ;737
ALIMENTA«√O - JOYCE  ;737
ALIMENTA«√O - VANICE  ;737
ALIMENTA«√O - CAROLINE  ;737
ALIMENTA«√O - JANAINA  ;737
ALIMENTA«√O - LARISSA ;737
ALIMENTA«√O - ANA PAULA ;737
ALIMENTA«√O - WANDERLEIA ;737
Juros Dr Samuel Levy - boleto vencido 20/07;433
ALIMENTA«√O - BRUNO ALVIN;737
EMPR…STIMO (11/25);152
Insumos  (5/7);506
RODRIGO - ALIMENTA«√O ;737
RODRIGO - ABASTECIMENTO ;738
CAROLINE - PREMIA«√O ;782
VICTOR HUGO - PREMIA«√O ;782
LARISSA - PREMIA«√O ;782
ADILIO - PREMIA«√O ;782
CAROLINA - PREMIA«√O ;782
CRISTINA - PREMIA«√O ;782
LUCIANA - PREMIA«√O ;782
TIAGO - PREMIA«√O ;782
VANICE - PREMIA«√O ;782
LOHENE - PREMIA«√O ;782
RODRIGO - PREMIA«√O ;782
MARLON - PREMIA«√O ;782
MARLON - PEDAGIO;705
ANA CRISTINA - PREMIA«√O ;782
ANA PAULA - PREMIA«√O ;782
JOYCE - PREMIA«√O ;782
PREMIA«√O ;782
YASMIM - PREMIA«√O ;782
Estoque Maira;506
Referente ao s·bado do Tiago;187
Referente ao s·bado Vanice;187
FRESADORA SECO 5 EIXOS DWX - 52DI 2/59 (32/58);570
Fresas - Master Milling  (5/5);506
Parcelas do distrato (3/3);732
Bloco cadcam, ponta pedra, estojo  (10/10);506
Emprestimo ;152
 RC VB P/ COROA;506
FORNO, FRESADORA CADCAM A51, SCANNER 3D (8/12);570
SERVI«OS DE DESENHO DE PR”TESE  REALIZADOS NO M S 07/2025;467
Salario 05/25;187
Marketing e colab com Administradores.com (12/12);713
DESISTENCIA/CONSULTA (8/12);741
Insumos  (6/7);506
NegociaÁ„o Boletos Fevereiro e MarÁo  (6/6);570
BRUNO ALVIM - TRANSPORTE ;738
Pix - Referente a paciente Cleni Teresinha ;504
SCANNER ;569
SCANNER - MEDIT 600 (SIN) 1/30 (29/30);570
Insumos  (7/10);506
Plano de suporte Talmax Fit  (3/4);362
CRO LAB;707
Emprestimo ao funcion·rio;187
DIVIDA ATIVA PARC LOP  (19/30);550
PARC SIMPLES - LOP  (15/60);550
Rescis„o;187
FGTS RescisÛrio Vanice;192
ALIMENTA«√O - BRUNO ALVIN ;737
Pagamento sal·rio referente ao mÍs de Julho|0022 JosÈ Carlos;187
GRADE DE PPR MESSIAS;362
manutenÁ„o moto e gasolina| REPARO NO FREIO DA MOTO ISRAEL;533
GRADE DE PPR MESSIAS| GRADE PPR MESSIAS;362
SERVI√áO DE TERCEIRO| FRETE ESPATALADOR;362
AR-CONDICIONADO (CAIQUE SOUSA PIRES)| G√ÅS DO AR-CONDICIONADO;362
manutenÁ„o moto e gasolina| TROCA DE IGNI√á√ÉO LEANDRO;533
manutenÁ„o moto e gasolina| AJUSTE NA CORRENTE MOTO;533
manutenÁ„o moto e gasolina| servi√ßo do banco;533
manutenÁ„o moto e gasolina| REVIS√ÉO FACTOR;533
manutenÁ„o moto e gasolina| REVIS√ÉO TENERE;533
IPTU GARAGEM| GRAGEM 03;348
IPTU GARAGEM| GARAGEM 4;348
INSS/IRRF| INSS;191
IPTU| IPTU SALA 601;348
IPTU| IPTU SALA 1201;348
IPTU| IPTU SALA 1202;348
correios| CORREIOS;357
correios;357
DIVERSOS| CORREIOS;357
Material de Escritorio| MATERIAL DE ESCRIToRIO;359
Material de Escritorio| CARREGADOR MOTO;359
DIVERSOS| MATERIAL DE ESCRIT√ìRIO;359
EMBALAGENS E PAPELARIA | MANTA EMBALAGEM;715
Estorno de Cliente;504
Material de Escrit√≥rio| TINTA DA IMPRESSORA;359
Material de Escrit√≥rio| MATERIAL PARA ESCRIT√ìRIO;359
alimentaÁ„o| VA MATEUS;535
alimentacao| VA;535
alimentacao| alimentacao VIAGEM;535
alimentacao;535
SIMPLES NACIONAL| SIMPLES NACIONAL;479
Material de Escrit√≥rio| COMPRA DE LIXA E WD40;359
EMPRESTIMO SICOOB PRONAMP| EMPRESTIMO PRONAMP;152
agua semanal| AGUA SEMANAL;355
correios| CORREIOS ENTREGA DE TRABALHO;357
alimentacao| MERENDA SABADO;535
alimentacao SABADO;535
FGTS| FGTS;192
CARTAO SICOOB| EMBALAGENS;534
alimentaÁ„o| ALMO√áO GEISON LETICIA;535
EMPRESTIMO SCANNER CEREC| BOLETO EMPRESTIMO CEREC;152
COPA, HIGIENE E LIMPEZA| MATERIAL DE LIMPEZA;360
DESPESAS COM VIAGEM;711
DESPESAS COM VIAGEM | MAYANDRA DESPESAS COM VIAGENS;711
DESPESAS COM VIAGEM |0190 MAYANDRA DESPESAS COM VIAGENS;711
SIMPLES DENTAL PROGRAMA| SIMPLES IT serviÁos;506
VIAGEM;711
TRANSPORTE VIAGEM;768
TRANSPORTE ABASTECIMENTO ;768
MAPFRE SEGUROS| SEGURO;358
correios| ENTREGA DE TRABALHO;357
alimentaÁ„o| COMPRA DE SAL GROSSO;535
alimentaÁ„o| COMPRA DE CAF…;535
DIVERSOS| PEDAGIO DIVINOPOLIS;738
TRANSPORTE |0194 TRANSPORTE ZANONI;768
TRANSPORTE ZANONI;768
TRANSPORTE TRANSPORTE ;768
TRANSPORTE ;768
EMPRESTIMO SICOOB CAPITAL DE GIRO 30.000,00| EMPRESTIMO SICOOB;152
manutenÁ„o moto e gasolina;730
manutenÁ„o moto e gasolina| COMPRA DE SUPORTE CELULAR MOTO ISRAEL;730
CARTAO SICOOB| 99 POP;534
CARTAO SICOOB| MOVIDA;534
CARTAO SICOOB| POSTO BAR√ÉO;534
CARTAO SICOOB| DIGOOGAMING;534
CARTAO SICOOB| DALIPLAST;534
CARTAO SICOOB| MAKERTECHLABSTECNOLO;534
CARTAO SICOOB| HT CLUB DOS SEM;534
CARTAO SICOOB| BESSER SOLU√á√ïES;534
CARTAO SICOOB| OMEGA PALACE HOTEL;534
CARTAO SICOOB| AGENDOR;534
CARTAO SICOOB| DROGARIA ARAUJO;534
CARTAO SICOOB| MERCADO LIVRE;534
CARTAO SICOOB| MERCADO LIVRE EBAZAR;534
CARTAO SICOOB| MP*AGPTECNOLOGIAEMIN;534
CARTAO SICOOB| EC *5PRODUTOS;534
CARTAO SICOOB| GO LINHA AEREAS;534
CARTAO SICOOB| JAIR OLEOS;534
CARTAO SICOOB| K2GO;534
CARTAO SICOOB| CNG SOLU√á√ïES;534
CARTAO SICOOB| MOPTEC;534
CARTAO SICOOB| MEGASTAR;534
CARTAO SICOOB| MMTEC PROJET*Smar;534
CARTAO SICOOB| MATERIAL GRAFICO;534
CARTAO SICOOB| VERISURE;534
CARTAO SICOOB| LATAM;534
CARTAO SICOOB| TELA LCD;534
CARTAO SICOOB| AUTO CLAVE;534
CARTAO SICOOB| PROJETOR;534
CARTAO SICOOB| FELP FILM;534
CARTAO SICOOB| TAMBASA ATACADISTA;534
ALUGUEL(LOCA√á√ÉO)| ALUGUEL SALAS 1201 E 1202;740
material do laboratorio| COMPRA DE NARRUELA;359
material do laboratorio;359
MAYANDRA DESPESAS COM VIAGENS | DESPESAS COM VIAGENS;711
MAYANDRA DESPESAS COM VIAGENS ;711
Brindes/ConfraternizaÁ„o| ANIVERS√ÅRIO LEANDRO;536
 NIVER;536
ANIVERS¡RIO ;536
SIMPLES NASCIONAL PAR| PARCELAMENTO;550
INTERNET|0159 CONFIBER INTERNET;356
CARTAO SICOOB| SEM MULTAS SERVI«OS;356
CARTAO SICOOB| GIRAFAS - ALIMENTA«√O VIAGEM;534
TRANSPORTE| DESPESAS COM VIAGENS;711
DIVERSOS| MANUTEN«√O CANETA PRODU«√O;729
MANUTEN«√O PRODU«√O;729
SIMPLES DENTAL PROGRAMA;506
DIVERSOS| FILTRO DE LINHA ESCRIT√ìRIO;359
Pgto de SERVI«OS(s) realizado(s) | Cliente: PRO ODONTO (DR.JHONI);504
VISITA COMERCIAL|0190 MAYANDRA DESPESAS COM VIAGENS;711
MAYANDRA DESPESAS COM VIAGENS | VISITA COMERCIAL;711
TRANSPORTE| ABASTECIMENTO COMERCIAL;768
JUROS PARCELAMENTO |0023 DIVERSOS;374
9 SCANBOODY SCAN INTRAORAL 918|0238 CIA DO IMPLANTE;506
CIA DO IMPLANTE| SCAN INTRA ORAL;506
